WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (140.338986 40.781756)",15479.0,JR陸奥森田駅,JR Mutsu-Morita Station,〒038-2817 青森県つがる市森田町床舞緑野11,https://stamp.funakiya.com/jr-mutsumorita.html,2021/3/13 無人化,,設置なし,40.781756, 140.338986
"POINT (140.120972 35.601111)",15774.0,JR本千葉駅,JR Hon-Chiba Station,〒260-0854 千葉県千葉市中央区長洲1-30-1,https://stamp.funakiya.com/jr-honchiba.html,,,設置なし,35.601111, 140.120972
"POINT (139.722222 35.783333)",15823.0,埼玉高速鉄道赤羽岩淵駅,Saitama Railway Akabane-iwabuchi Station,〒115-0045 東京都北区赤羽1-52-8,https://stamp.funakiya.com/sr-akabaneiwabuchi.html,,,設置あり,35.783333, 139.722222
"POINT (139.770167 35.796389)",15999.0,日暮里・舎人ライナー舎人公園駅,Nippori-Toneri Liner Toneri-koen Station,〒121-0837 東京都足立区舎人公園1-10,https://stamp.funakiya.com/toei-tonerikoen.html,,,設置なし,35.796389, 139.770167
"POINT (139.699167 35.644306)",16005.0,東急電鉄中目黒駅,Tokyu Naka-meguro Station,〒153-0051 東京都目黒区上目黒3-4-1,https://stamp.funakiya.com/tokyu-nakameguro.html,,,設置なし,35.644306, 139.699167
"POINT (139.668889 35.6075)",16006.0,東急電鉄自由が丘駅,Tokyu Jiyūgaoka Station,〒152-0035 東京都目黒区自由が丘1-9-8,https://stamp.funakiya.com/tokyu-jiyugaoka.html,,,設置なし,35.6075, 139.668889
"POINT (139.667306 35.596889)",16007.0,東急電鉄田園調布駅,Tokyu Den-en-chōfu Station,〒145-0071 東京都大田区田園調布3-25-18,https://stamp.funakiya.com/tokyu-denenchofu.html,,,設置なし,35.596889, 139.667306
"POINT (139.659722 35.575694)",16008.0,東急電鉄武蔵小杉駅,Tokyu Musashi-kosugi Station,〒211-0063 神奈川県川崎市中原区小杉町3-472,https://stamp.funakiya.com/tokyu-musashikosugi.html,,,設置なし,35.575694, 139.659722
"POINT (139.646778 35.553056)",16009.0,東急電鉄日吉駅,Tokyu Hiyoshi Station,〒223-0061 神奈川県横浜市港北区日吉2-1-1,https://stamp.funakiya.com/tokyu-hiyoshi.html,,,設置なし,35.553056, 139.646778
"POINT (139.631389 35.51)",16010.0,東急電鉄菊名駅,Tokyu Kikuna Station,〒222-0011 神奈川県横浜市港北区菊名7-1-1,https://stamp.funakiya.com/tokyu-kikuna.html,,,設置なし,35.51, 139.631389
"POINT (139.622222 35.46625)",16011.0,東急電鉄横浜駅,Tokyu Yokohama Station,〒220-0005 神奈川県横浜市西区南幸1-1-1,https://stamp.funakiya.com/tokyu-yokohama.html,,,設置なし,35.46625, 139.622222
"POINT (139.715556 35.633333)",16012.0,東急電鉄目黒駅,Tokyu Meguro Station,〒141-0021 東京都品川区上大崎4-2-1,https://stamp.funakiya.com/tokyu-meguro.html,,,設置なし,35.633333, 139.715556
"POINT (139.671167 35.6435)",16013.0,東急電鉄三軒茶屋駅,Tokyu Sangen-jaya Station,〒154-0004 東京都世田谷区太子堂2-15,https://stamp.funakiya.com/tokyu-sangenchaya.html,,,設置なし,35.6435, 139.671167
"POINT (139.641389 35.666111)",16014.0,東急電鉄下高井戸駅,Tokyu Shimo-takaido Station,〒156-0043 東京都世田谷区松原3丁目,https://stamp.funakiya.com/tokyu-shimotakaido.html,,,設置なし,35.666111, 139.641389
