WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (136.185836 34.9191)",24022.0,JR寺庄駅,JR Terashō Station,〒520-3301 滋賀県甲賀市甲南町寺庄484-1,https://stamp.funakiya.com/jr-terasho.html,,,設置あり,34.9191, 136.185836
"POINT (136.229583 34.889589)",24023.0,JR油日駅,JR Aburahi Station,〒520-3421 滋賀県甲賀市甲賀町上野1453,https://stamp.funakiya.com/jr-aburahi.html,,,設置あり,34.889589, 136.229583
"POINT (136.052989 35.017664)",24024.0,JR石部駅,JR Ishibe Station,〒520-3105 滋賀県湖南市石部西3-5-35,https://stamp.funakiya.com/jr-ishibe.html,,,設置あり,35.017664, 136.052989
"POINT (136.117506 34.983244)",24025.0,JR三雲駅,JR Mikumo Station,〒520-3221 滋賀県湖南市三雲荒川457,https://stamp.funakiya.com/jr-mikumo.html,,,設置あり,34.983244, 136.117506
"POINT (136.169431 34.931156)",24026.0,JR甲南駅,JR Kōnan Station,〒520-3322 滋賀県甲賀市甲南町深川1615,https://stamp.funakiya.com/jrw-konan.html,,,設置あり,34.931156, 136.169431
"POINT (136.212664 34.901336)",24027.0,JR甲賀駅,JR Kōka Station,〒520-3433 滋賀県甲賀市甲賀町大原市場164,https://stamp.funakiya.com/jr-koka.html,,,設置あり,34.901336, 136.212664
"POINT (135.577778 34.828611)",24030.0,JR総持寺駅,JR JR-Sōjiji Station,〒567-0806 大阪府茨木市庄1-28-55,https://stamp.funakiya.com/jr-sojiji.html,,,設置あり,34.828611, 135.577778
"POINT (136.061008 34.876911)",24031.0,信楽高原鐵道信楽駅,Shigaraki Kohgen Railway Shigaraki Station,〒529-1851 滋賀県甲賀市信楽町長野192,https://stamp.funakiya.com/skr-shigaraki.html,,,設置あり,34.876911, 136.061008
"POINT (136.629639 34.963083)",24032.0,JR四日市駅,JR Yokkaichi Station,〒510-0093 三重県四日市市本町3-85,https://stamp.funakiya.com/jr-yokkaichi.html,,,設置あり,34.963083, 136.629639
"POINT (136.588833 34.878278)",24033.0,伊勢鉄道鈴鹿駅,Ise Railway Suzuka Station,〒513-0036 三重県鈴鹿市矢橋1-11-1,https://stamp.funakiya.com/ise-suzuka.html,,,設置あり,34.878278, 136.588833
"POINT (136.725639 35.113861)",24034.0,JR弥富駅,JR Yatomi Station,〒498-0021 愛知県弥富市鯏浦町中六178,https://stamp.funakiya.com/jr-yatomi.html,,,設置あり,35.113861, 136.725639
"POINT (136.793972 35.141944)",24036.0,JR蟹江駅,JR kanie Station,〒497-0032 愛知県海部郡蟹江町今上六反田12,https://stamp.funakiya.com/jr-kanie.html,,,設置あり,35.141944, 136.793972
"POINT (140.057744 39.80995)",24043.0,JR追分駅,JR Oiwake Station,〒010-0126 秋田県秋田市金足追分海老穴257-4,https://stamp.funakiya.com/jr-oiwake.html,,,設置あり,39.80995, 140.057744
"POINT (141.810714 42.873261)",24044.0,JR追分駅,JR Oiwake Station,〒059-1931 北海道勇払郡安平町追分中央1,https://stamp.funakiya.com/jrh-oiwake.html,,,設置あり,42.873261, 141.810714
"POINT (137.021944 35.182222)",24045.0,愛知高速交通藤が丘駅,Linimo Fujigaoka Station,〒465-0032 愛知県名古屋市名東区藤が丘163,https://stamp.funakiya.com/linimo-fujigaoka.html,,,設置あり,35.182222, 137.021944
"POINT (137.0875 35.1775)",24046.0,愛知高速交通愛・地球博記念公園駅,Linimo Ai･Chikyuhaku Kinen Koen Station,〒480-1342 愛知県長久手市茨ヶ廻間,https://stamp.funakiya.com/linimo-aichikyuhaku.html,,,設置あり,35.1775, 137.0875
"POINT (137.10625 35.176667)",24047.0,愛知高速交通八草駅,Linimo Yakusa Station,〒470-0356 愛知県豊田市八草町石坂,https://stamp.funakiya.com/linimo-yakusa.html,,,設置あり,35.176667, 137.10625
"POINT (136.2605 35.236183)",24051.0,近江鉄道高宮駅,Ohmi Railway Takamiya Station,〒522-0201 滋賀県彦根市高宮町876-1,https://stamp.funakiya.com/omi-takamiya.html,,,設置あり,35.236183, 136.2605
"POINT (136.246139 35.213953)",24052.0,近江鉄道尼子駅,Ohmi Railway Amago Station,〒522-0242 滋賀県犬上郡甲良町尼子1712-2,https://stamp.funakiya.com/omi-amago.html,,,設置あり,35.213953, 136.246139
"POINT (136.213308 35.175981)",24053.0,近江鉄道愛知川駅,Ohmi Railway Echigawa Station,〒529-1313 滋賀県愛知郡愛荘町市895,https://stamp.funakiya.com/omi-echigawa.html,,,設置あり,35.175981, 136.213308
"POINT (139.378733 36.294067)",24088.0,東武鉄道太田駅,Tobu Railway Ōta Station,〒373-0026 群馬県太田市東本町15,https://stamp.funakiya.com/tobu-ota.html,,,設置あり,36.294067, 139.378733
"POINT (139.154861 35.256389)",24123.0,JR小田原駅（JR東海）,JR Odawara Station,〒250-0011 神奈川県小田原市栄町1-1-9,https://stamp.funakiya.com/jrt-odawara.html,,,設置あり,35.256389, 139.154861
"POINT (139.632306 35.457889)",24124.0,横浜高速鉄道みなとみらい駅,Yokohama Minatomirai Railway Minatomirai Station,〒220-0012 神奈川県横浜市西区みなとみらい3-5,https://stamp.funakiya.com/mm-minatomirai.html,,,設置あり,35.457889, 139.632306
"POINT (140.854903 37.035731)",24125.0,JR内郷駅,JR Uchigō Station,〒973-8403 福島県いわき市内郷綴町榎下12,https://stamp.funakiya.com/jr-uchigo.html,,,設置あり,37.035731, 140.854903
"POINT (140.849997 37.006494)",24126.0,JR湯本駅,JR Yumoto Station,〒972-8321 福島県いわき市常磐湯本町天王崎92,https://stamp.funakiya.com/jr-yumoto.html,,,設置あり,37.006494, 140.849997
"POINT (140.981306 37.102547)",24127.0,JR四ツ倉駅,JR Yotsukura Station,〒979-0201 福島県いわき市四倉町鬼越138,https://stamp.funakiya.com/jr-yotsukura.html,,,設置あり,37.102547, 140.981306
"POINT (140.995889 37.14235)",24128.0,JR久ノ浜駅,JR Hisanohama Station,〒979-0333 福島県いわき市久之浜町久之浜北荒蒔12,https://stamp.funakiya.com/jr-hisanohama.html,2020/3/14 無人化,,設置あり,37.14235, 140.995889
"POINT (140.999111 37.212111)",24131.0,JR広野駅（福島県）,JR Hirono Station,〒979-0403 福島県双葉郡広野町下浅見川築地58,https://stamp.funakiya.com/jre-hirono.html,2021/10/1 無人化,,設置あり,37.212111, 140.999111
"POINT (141.002617 37.282689)",24132.0,JR竜田駅,JR Tatsuta Station,〒979-0603 福島県双葉郡楢葉町井出木屋126,https://stamp.funakiya.com/jr-tatsuta.html,,,設置あり,37.282689, 141.002617
"POINT (135.442008 34.791444)",24137.0,大阪モノレール大阪空港駅,Osaka Monorail Osaka Airport Station,〒560-0036 大阪府豊中市蛍池西町3-551,https://stamp.funakiya.com/osakamonorail-osakaairport.html,,,設置あり,34.791444, 135.442008
