WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (139.75802 35.75336)",16167.0,あらかわ遊園,Arakawa Amusement Park,〒116-0011 東京都荒川区西尾久6-35-11,https://stamp.funakiya.com/arakawayuen.html,,,設置なし,35.75336, 139.75802
"POINT (139.8319958561654 35.15685716721956)",16342.0,鋸山日本寺,,〒299-1901 千葉県安房郡鋸南町元名184,https://stamp.funakiya.com/nokogiriyama-nihonji.html,,,設置なし,35.15685716721956, 139.8319958561654
"POINT (137.8441714310368 36.56308838946193)",16405.0,木崎湖みずほプロジェクト2017,,〒398-0001 長野県大町市平森10639-1,https://stamp.funakiya.com/kizakiko.html,,,設置なし,36.56308838946193, 137.8441714310368
"POINT (139.7826447920677 35.7025357866392)",16869.0,鳥越おかず横丁,,〒111-0054 東京都台東区鳥越,https://stamp.funakiya.com/okazuyokocho.html,,,設置なし,35.7025357866392, 139.7826447920677
"POINT (139.797098 35.630691)",16998.0,スポルテック2014,,〒135-0063 東京都江東区有明3-11-1,https://stamp.funakiya.com/sportec2014.html,,,設置なし,35.630691, 139.797098
"POINT (139.766663 35.672256)",17467.0,松屋銀座 古田織部展×へうげものスタンプラリー,,〒104-0061 東京都中央区銀座3-6-1,https://stamp.funakiya.com/oribe-hyougemono.html,,,設置なし,35.672256, 139.766663
"POINT (139.76823 35.68093)",19070.0,森永のおかしなおかし屋さん 東京駅店,Okashina-okashiyasan Tokyo Station,〒100-0005 東京都千代田区丸の内1-9-1 東京駅一番街 B1F 東京おかしランド内,https://stamp.funakiya.com/morinagashop-tokyo.html,,,設置なし,35.68093, 139.76823
"POINT (139.71582 36.82384)",19643.0,鬼怒川・川治温泉観光情報センター,,〒321-2522 栃木県日光市鬼怒川温泉大原1404-1,https://stamp.funakiya.com/kinugawa-kanko.html,,,設置なし,36.82384, 139.71582
"POINT (139.81087 35.71019)",19668.0,東京スカイツリー サンダーバード×キッズホスピタルランド,,〒131-0045 東京都墨田区押上1-1-2,https://stamp.funakiya.com/skytree-thunderbirds.html,,,設置なし,35.71019, 139.81087
"POINT (133.05054390091058 35.47441857944902)",20022.0,松江観光協会,Matsue International Tourist Information Office,〒690-0887 島根県松江市殿町1-5,https://stamp.funakiya.com/matsue-kanko.html,,,設置なし,35.47441857944902, 133.05054390091058
"POINT (139.76767 35.668514)",20029.0,いわて銀河プラザ,,〒104-0061 東京都中央区銀座5-15-1 南海東京ビル1F,https://stamp.funakiya.com/iwate-plaza.html,,,設置なし,35.668514, 139.767670
"POINT (137.10471720888282 36.68984464884293)",20155.0,ジャパンエキスポ富山'92,,〒939-0311 富山県射水郡小杉町黒河4774-6,https://stamp.funakiya.com/jet92.html,,,設置なし,36.68984464884293, 137.10471720888282
"POINT (139.66217516190207 35.25785094025442)",20272.0,衣笠商店街サービスセンター,,〒238-0031 神奈川県横須賀市衣笠栄町1-20,https://stamp.funakiya.com/kinugasa-shokokai.html,,,設置なし,35.25785094025442, 139.66217516190207
"POINT (139.762771 35.671859)",21259.0,銀座熊本館,,〒104-0061 東京都中央区銀座5-3-16,https://stamp.funakiya.com/ginza-kumamoto.html,,,設置なし,35.671859, 139.762771
"POINT (139.44737956080846 35.6508590359633)",21662.0,せいせきの風景 聖蹟桜ヶ丘駅前,,〒206-0011 東京都多摩市関戸1-10-1,https://stamp.funakiya.com/seiseki-station.html,,,設置なし,35.6508590359633, 139.44737956080846
"POINT (139.4465467655546 35.64904693405333)",21663.0,せいせきの風景 いろは坂,,〒206-0011 東京都多摩市関戸4-23-1,https://stamp.funakiya.com/seiseki-irohazaka.html,,,設置なし,35.64904693405333, 139.4465467655546
"POINT (139.44476751142713 35.64046427838769)",21664.0,せいせきの風景 ロータリー,,〒206-0013 東京都多摩市桜ケ丘2-2-6,https://stamp.funakiya.com/seiseki-rotary.html,,,設置なし,35.64046427838769, 139.44476751142713
"POINT (139.76358 35.67324)",22160.0,サンリオワールド ギンザ,,〒104-0061 東京都中央区銀座4-1先 西銀座2F,https://stamp.funakiya.com/sanrioworld-ginza.html,,,設置なし,35.67324, 139.76358
"POINT (134.54978448880505 34.07457875308665)",23019.0,マチ★アソビ,,〒 徳島県徳島市各所,https://stamp.funakiya.com/tokushima-machiasobi.html,,,設置なし,34.07457875308665, 134.54978448880505
"POINT (139.72548 35.70391)",23900.0,新宿区立漱石山房記念館,,〒162-0043 東京都新宿区早稲田南町7,https://stamp.funakiya.com/shinjuku-soseki-museum.html,,,設置なし,35.70391, 139.72548
"POINT (132.30529131803485 34.31090541143177)",23932.0,JR西日本宮島フェリー宮島営業所,,〒739-0411 広島県廿日市市宮島口1-11-5,https://stamp.funakiya.com/jr-miyajimaferry.html,,,設置なし,34.31090541143177, 132.30529131803485
"POINT (139.700298 35.531963)",23942.0,ウィングキッチン京急川崎,Wing Kitchen Keikyū Kawasaki,〒210-0006 神奈川県川崎市川崎区砂子1-3-1,https://stamp.funakiya.com/keikyu-wing-kawasaki.html,,,設置なし,35.531963, 139.700298
"POINT (139.699692 35.531681)",23943.0,京急ストア川崎店,KEIKYU STORE Kawasaki,〒210-0007 神奈川県川崎市川崎区駅前本町28,https://stamp.funakiya.com/keikyu-store-kawasaki.html,,,設置なし,35.531681, 139.699692
"POINT (139.59665224040626 35.40913057521472)",23944.0,京急百貨店,,〒233-0002 神奈川県横浜市港南区上大岡西1-6-1,https://stamp.funakiya.com/keikyu-store-kamiooka.html,,,設置なし,35.40913057521472, 139.59665224040626
"POINT (139.95721433948788 39.29157132647811)",24332.0,TDK歴史みらい館,,〒018-0402 秋田県にかほ市平沢画書面15,https://stamp.funakiya.com/tdk-museum.html,,,設置なし,39.29157132647811, 139.95721433948788
"POINT (140.69094455375125 38.72889473852308)",24351.0,鳴子峡レストハウス,,〒989-6832 宮城県大崎市鳴子温泉星沼13-5,https://stamp.funakiya.com/narukokyo-resthouse.html,,,設置なし,38.72889473852308, 140.69094455375125
"POINT (139.53143186665713 35.35271598463942)",24397.0,大船ルミネウィング,,〒247-0056 神奈川県鎌倉市大船1-4-1,https://stamp.funakiya.com/ofuna-lumine.html,,,設置なし,35.35271598463942, 139.53143186665713
"POINT (138.71086273916748 36.557143104845125)",24501.0,八ッ場見放台,,〒377-1301 群馬県吾妻郡長野原町川原畑994,https://stamp.funakiya.com/yambamihoudai.html,,,設置なし,36.557143104845125, 138.71086273916748
"POINT (138.7125252726475 36.55807665968919)",24502.0,なるほど！やんば資料館,,〒377-1302 群馬県吾妻郡長野原町川原湯,https://stamp.funakiya.com/yamba-museum.html,,,設置なし,36.55807665968919, 138.7125252726475
