WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (140.46365 40.60786)",15791.0,弘前城,Hirosaki Castle,〒036-8356 青森県弘前市下白銀町1-1,https://stamp.funakiya.com/hirosakijou.html,,,設置あり,40.60786, 140.46365
"POINT (140.48488 40.59896)",15792.0,弘前市観光案内所,Hirosaki City Tourist Infomation Center,〒036-8096 青森県弘前市表町1-1,https://stamp.funakiya.com/hirosaki-kanko.html,,,設置あり,40.59896, 140.48488
"POINT (140.22073 40.7755)",15793.0,鰺ヶ沢町駅前観光案内所,Ajigasawa Town Tourist Infomation Center,〒038-2761 青森県西津軽郡鰺ヶ沢町舞戸町下富田35-12 西海ビル1階,https://stamp.funakiya.com/ajigasawa-kanko.html,,,設置あり,40.7755, 140.22073
"POINT (140.30559103233838 38.76268234635091)",15794.0,最上広域交流センターゆめりあ,,〒996-0024 山形県新庄市多門町1-2,https://stamp.funakiya.com/shinjo-yumeria.html,,,設置あり,38.76268234635091, 140.30559103233838
"POINT (139.82286300875003 38.891270322729085)",15795.0,土門拳写真美術館,Ken Domon Museum of Photography,〒998-0055 山形県酒田市飯森山2-13,https://stamp.funakiya.com/domonken.html,,,設置あり,38.891270322729085, 139.82286300875003
"POINT (139.54838880873808 38.553288655348574)",15796.0,山形・新潟県県境通過記念,,〒959-3901 山形県鶴岡市鼠ケ関／新潟県村上市伊呉野,https://stamp.funakiya.com/nezugaseki.html,,,設置あり,38.553288655348574, 139.54838880873808
"POINT (140.0962351994549 36.2121598831021)",16023.0,筑波山観光案内所,Mt. Tsukuba Tourist Infomation Center,〒300-4352 茨城県つくば市筑波1222-2,https://stamp.funakiya.com/tsukubasan.html,,,設置あり,36.2121598831021, 140.0962351994549
"POINT (140.09996647051096 36.21446543766212)",16024.0,筑波山ケーブルカー宮脇駅,Mt. Tsukuba Cable Car Miyawaki Station,〒300-4352 茨城県つくば市筑波,https://stamp.funakiya.com/miyawaki.html,,,設置あり,36.21446543766212, 140.09996647051096
"POINT (140.10069195461335 36.22592602877383)",16025.0,筑波山ケーブルカー筑波山頂駅,Mt. Tsukuba Cable Car Tsukuba-sancho Station,〒300-4352 茨城県つくば市筑波,https://stamp.funakiya.com/tsukubasantyou.html,,,設置あり,36.22592602877383, 140.10069195461335
"POINT (140.11902891323825 36.21966493670827)",16026.0,筑波山ロープウェイつつじヶ丘駅,Mt. Tsukuba Ropeway Tsutsujigaoka Station,〒300-4352 茨城県つくば市筑波,https://stamp.funakiya.com/tsutsujigaoka.html,,,設置あり,36.21966493670827, 140.11902891323825
"POINT (140.106402457905 36.225004371432604)",16027.0,筑波山ロープウェイ女体山駅,Mt. Tsukuba Ropeway Nyotai-san Station,〒300-4352 茨城県つくば市筑波,https://stamp.funakiya.com/nyotaisan.html,,,設置あり,36.225004371432604, 140.106402457905
"POINT (138.73366881146916 36.33643072957546)",16030.0,碓氷峠鉄道文化むら,Usui Pass Railway Heritage Park,〒379-0301 群馬県安中市松井田町横川407-16,https://stamp.funakiya.com/usuitouge.html,,,設置あり,36.33643072957546, 138.73366881146916
"POINT (139.10236417899745 36.09121195234967)",16034.0,宝登山ロープウェイ山麓駅,Hodosan Ropeway Hoothill Station,〒369-1305 埼玉県秩父郡長瀞町長瀞1766,https://stamp.funakiya.com/hotosan-ropeway.html,,,設置あり,36.09121195234967, 139.10236417899745
"POINT (139.45333255165818 36.1380548166406)",16037.0,行田市郷土博物館,Gyoda City Folk Museum,〒361-0052 埼玉県行田市本丸17-23,https://stamp.funakiya.com/oshijo.html,,,設置あり,36.1380548166406, 139.45333255165818
"POINT (139.62391595622333 35.13172475758785)",16102.0,城ヶ島公園,,〒238-0243 神奈川県三浦市三崎町城ヶ島,https://stamp.funakiya.com/jougashima.html,,,設置あり,35.13172475758785, 139.62391595622333
"POINT (141.06803082644706 38.37013918593392)",16103.0,松島福浦橋,Fukuura Bridge,〒981-0213 宮城県宮城郡松島町松島仙随39-1,https://stamp.funakiya.com/matushima.html,,,設置あり,38.37013918593392, 141.06803082644706
"POINT (141.06168397341224 38.36932241634732)",16104.0,松島観瀾亭,Kanrantei Tea House,〒981-0213 宮城県宮城郡松島町松島町内56,https://stamp.funakiya.com/kanrantei.html,,,設置あり,38.36932241634732, 141.06168397341224
"POINT (141.06559887640122 38.3716848497435)",16105.0,みちのく伊達政宗歴史館,,〒981-0213 宮城県宮城郡松島町松島普賢堂13-13,https://stamp.funakiya.com/datemasamune.html,,,設置あり,38.3716848497435, 141.06559887640122
"POINT (138.96845364019495 36.77843725845796)",16115.0,水上温泉郷,,〒379-1611 群馬県利根郡みなかみ町鹿野沢70-8,https://stamp.funakiya.com/minakami-onsen.html,,,設置あり,36.77843725845796, 138.96845364019495
"POINT (139.71214 36.8242)",16120.0,鬼怒川温泉の鬼怒川六橋めぐりスタンプ,,〒321-2522 栃木県日光市鬼怒川温泉,https://stamp.funakiya.com/kinugawaonsen.html,,,設置あり,36.8242, 139.71214
"POINT (139.81946973561054 35.724787105049586)",16121.0,東武博物館,Tobu Museum,〒131-0032 東京都墨田区東向島4-28-16,https://stamp.funakiya.com/tobu-museum.html,,,設置あり,35.724787105049586, 139.81946973561054
"POINT (137.01434853545976 36.74234371270229)",16122.0,高岡マンテンホテル,,〒933-0023 富山県高岡市末広町1-8,https://stamp.funakiya.com/takaoka-mantenhotel.html,,,設置あり,36.74234371270229, 137.01434853545976
"POINT (140.8628378760444 35.74093879360825)",16124.0,銚子ポートタワー,Choshi Port Tower,〒288-0001 千葉県銚子市川口町2-6385-267,https://stamp.funakiya.com/choushi-tower.html,,,設置あり,35.74093879360825, 140.8628378760444
"POINT (139.873825 35.663486)",16141.0,地下鉄博物館,,〒134-0084 東京都江戸川区東葛西6-3-1,https://stamp.funakiya.com/chikahaku.html,,,設置あり,35.663486, 139.873825
"POINT (139.74462 35.67655)",16154.0,国会議事堂（参議院）,,〒100-0014 東京都千代田区永田町1-7-1,https://stamp.funakiya.com/kokkaigijidou.html,,,設置あり,35.67655, 139.74462
"POINT (139.74213784986787 35.74672065927036)",16155.0,国立印刷局滝野川工場,,〒114-0024 東京都北区西ケ原2-3-15,https://stamp.funakiya.com/takinogawa.html,,,設置あり,35.74672065927036, 139.74213784986787
"POINT (139.81500968259297 35.72425270965364)",16156.0,向島百花園,Mukojima-Hyakkaen Gardens,〒131-0032 東京都墨田区東向島3-18-3,https://stamp.funakiya.com/mukoujima.html,,,設置あり,35.72425270965364, 139.81500968259297
"POINT (139.69276271161417 35.639132712004745)",16157.0,カレーの店ナイアガラ,Niagara Curry House,〒153-0052 東京都目黒区祐天寺1-21-2,https://stamp.funakiya.com/naiagara.html,,,設置あり,35.639132712004745, 139.69276271161417
"POINT (139.75903 35.68603)",16158.0,皇居東御苑,,〒100-0001 東京都千代田区千代田1-1,https://stamp.funakiya.com/koukyohigashigyoen.html,,,設置あり,35.68603, 139.75903
"POINT (139.74614141887417 35.67106502105513)",16159.0,経済産業省特許庁,,〒100-0013 東京都千代田区霞が関3-4-3,https://stamp.funakiya.com/jpo.html,,,設置あり,35.67106502105513, 139.74614141887417
"POINT (139.80352433206764 35.71924990339315)",16160.0,浅草今戸神社,Asakusa Imado Shrine,〒111-0024 東京都台東区今戸1-5-22,https://stamp.funakiya.com/imadojinja.html,,,設置あり,35.71924990339315, 139.80352433206764
"POINT (139.81069 35.71006)",16165.0,東京スカイツリー,TOKYO SKYTREE,〒131-0045 東京都墨田区押上1-1-2,https://stamp.funakiya.com/skytree.html,,,設置あり,35.71006, 139.81069
"POINT (139.75237520171663 35.75103540163206)",16166.0,都電おもいで広場,,〒116-0011 東京都荒川区西尾久8-33-7,https://stamp.funakiya.com/toden-omoide.html,,,設置あり,35.75103540163206, 139.75237520171663
"POINT (139.75279 35.70797)",16168.0,文京シビックセンター,Bunkyo Civic Center,〒112-0003 東京都文京区春日1-16-21,https://stamp.funakiya.com/bunkyociviccenter.html,,,設置あり,35.70797, 139.75279
"POINT (139.69181 35.68932)",16169.0,東京都庁展望台,Tokyo Metropolitan Government,〒160-0023 東京都新宿区西新宿2-8-1,https://stamp.funakiya.com/tocho.html,,,設置あり,35.68932, 139.69181
"POINT (140.7540199937425 41.7946797903173)",16178.0,五稜郭タワー,Goryokaku Tower,〒040-0001 北海道函館市五稜郭町43-9,https://stamp.funakiya.com/goryo-tower.html,,,設置あり,41.7946797903173, 140.7540199937425
"POINT (140.34674 41.25384)",16179.0,青函トンネル記念館,seikan-tunnel-museum,〒030-1711 青森県東津軽郡外ヶ浜町三厩龍浜99,https://stamp.funakiya.com/seikan-kinenkan.html,,,設置あり,41.25384, 140.34674
"POINT (140.72178747723922 41.772899597665244)",16186.0,函館市青函連絡船記念館摩周丸,Seikan Train ferry Museum Mashū Maru,〒040-0063 北海道函館市若松町12番地先,https://stamp.funakiya.com/mashuumaru.html,,,設置あり,41.772899597665244, 140.72178747723922
"POINT (133.93441500031614 34.668601200464785)",16191.0,岡山後楽園,Kōrakuen,〒703-8257 岡山県岡山市北区後楽園1-5,https://stamp.funakiya.com/okaya-kourakuen.html,,,設置あり,34.668601200464785, 133.93441500031614
"POINT (133.93606666032778 34.66518638031175)",16192.0,岡山城,Okayama Castle,〒700-0823 岡山県岡山市北区丸の内2-3-1,https://stamp.funakiya.com/okayamajou.html,,,設置あり,34.66518638031175, 133.93606666032778
"POINT (132.305281 34.311231)",16195.0,宮島松大汽船 宮島口桟橋,,〒739-0411 広島県廿日市市宮島口1-11-6,https://stamp.funakiya.com/miyajimaguchisanbashi.html,,,設置あり,34.311231, 132.305281
"POINT (132.322225 34.302111)",16196.0,宮島松大汽船 宮島桟橋,,〒739-0588 広島県廿日市市宮島町1162-18,https://stamp.funakiya.com/miyajimasanbashi.html,,,設置あり,34.302111, 132.322225
"POINT (132.459059079401 34.402633367823825)",16197.0,広島城,Hiroshima Castle,〒730-0011 広島県広島市中区基町21-1,https://stamp.funakiya.com/hiroshimajou.html,,,設置あり,34.402633367823825, 132.459059079401
"POINT (134.2375193178742 35.50707261275142)",16205.0,鳥取城・仁風閣,Tottori Castle,〒680-0011 鳥取県鳥取市東町2-121,https://stamp.funakiya.com/tottorijou.html,,,設置あり,35.50707261275142, 134.2375193178742
"POINT (138.92582412213466 35.5832985015485)",16213.0,山梨県立リニア見学センター,,〒402-0006 山梨県都留市小形山2381,https://stamp.funakiya.com/yamanashi-linear.html,,,設置あり,35.5832985015485, 138.92582412213466
"POINT (134.56028670200678 35.64894064400841)",16215.0,餘部鉄橋,Amarube Viaduct,〒669-6671 兵庫県美方郡香美町香住区余部ナワテ,https://stamp.funakiya.com/amarube.html,,2001/7/16 廃止,設置あり,35.64894064400841, 134.56028670200678
"POINT (139.86218097842533 34.99576537938314)",16229.0,館山市観光案内所・その１,Tateyama City Tourist Infomation Center,〒294-0045 千葉県館山市北条1879-2,https://stamp.funakiya.com/tateyama-kanko01.html,,,設置あり,34.99576537938314, 139.86218097842533
"POINT (139.86218097842533 34.99576537938314)",16230.0,館山市観光案内所・その２,Tateyama City Tourist Infomation Center,〒294-0045 千葉県館山市北条1879-2,https://stamp.funakiya.com/tateyama-kanko02.html,,,設置あり,34.99576537938314, 139.86218097842533
"POINT (140.09793918707976 35.600248202158795)",16234.0,千葉ポートタワー,Chiba Port Tower,〒260-0024 千葉県千葉市中央区中央港1,https://stamp.funakiya.com/chiba-porttower.html,,,設置あり,35.600248202158795, 140.09793918707976
"POINT (137.66458844805533 36.56649866897053)",16244.0,黒部ダムスタンプラリー,,〒930-1406 富山県中新川郡立山町,https://stamp.funakiya.com/kurobedam-stamp.html,,,設置あり,36.56649866897053, 137.66458844805533
"POINT (137.6650219711047 36.56751569338127)",16245.0,黒部ダム,,〒930-1406 富山県中新川郡立山町,https://stamp.funakiya.com/kurobedam.html,,,設置あり,36.56751569338127, 137.6650219711047
"POINT (137.59520429802612 36.57744450161946)",16251.0,立山山頂郵便局,,〒930-1406 富山県中新川郡立山町芦峅寺室堂,https://stamp.funakiya.com/tateyamapost.html,,,設置あり,36.57744450161946, 137.59520429802612
"POINT (137.59516966418045 36.577778098269455)",16252.0,ホテル立山,,〒930-1406 富山県中新川郡立山町芦峅寺室堂,https://stamp.funakiya.com/hoteltateyama.html,,,設置あり,36.577778098269455, 137.59516966418045
"POINT (136.7582555269089 36.48594472868514)",16256.0,湯涌稲荷神社,,〒920-1123 石川県金沢市湯涌町イ145,https://stamp.funakiya.com/yuwakuinari.html,,,設置あり,36.48594472868514, 136.7582555269089
"POINT (136.7574603923146 36.48595565032619)",16257.0,金沢湯涌夢二館,,〒920-1123 石川県金沢市湯涌町イ144-1,https://stamp.funakiya.com/kanazawa-yumeji.html,,,設置あり,36.48595565032619, 136.7574603923146
"POINT (139.085050962481 35.99734295134001)",16274.0,秩父まつり会館,,〒368-0041 埼玉県秩父市番場町2-8,https://stamp.funakiya.com/chichibumatsuri.html,,,設置あり,35.99734295134001, 139.085050962481
