WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (138.7401485165968 36.34176515567557)",16114.0,上信越自動車道横川SA,JOSHIN-ETSU EXPWY Yokokawa Service Area,〒379-0301 上り：群馬県安中市松井田町横川大林917、下り：群馬県安中市松井田町横川井戸入917,https://stamp.funakiya.com/hw-yokokawa.html,,,設置あり,36.34176515567557, 138.7401485165968
"POINT (136.52820618174277 36.533893453767206)",16236.0,北陸自動車道徳光PA,HOKURIKU EXPWY Tokumitsu Parking Area,〒924-0071 上り：石川県白山市徳光町2494-2、下り：石川県白山市徳光町2495-1,https://stamp.funakiya.com/hw-tokumitsu.html,,,設置あり,36.533893453767206, 136.52820618174277
"POINT (137.93206531251727 36.271083850287496)",16259.0,長野自動車道梓川SA,NAGANO EXPWY Azusagawa Service Area,〒399-8204 / 390-0851 上り：長野県安曇野市豊科高家972-5、下り：長野県松本市島内西河原6931-5,https://stamp.funakiya.com/hw-azusagawa.html,,,設置あり,36.271083850287496, 137.93206531251727
"POINT (139.50479912372086 35.84267887711717)",16269.0,関越自動車道三芳PA,KAN-ETSU EXPWY Miyoshi Parking Area,〒354-0045 上り：埼玉県入間郡三芳町上富2204、下り：埼玉県入間郡三芳町上富東永久保2245-1,https://stamp.funakiya.com/hw-miyoshi.html,,,設置あり,35.84267887711717, 139.50479912372086
"POINT (138.07801950815897 36.0268152430274)",16283.0,中央自動車道諏訪湖SA,CHUO EXPWY Suwako Service Area,〒392-0016 / 394-0044 上り：長野県諏訪市豊田所久保3118、下り：長野県岡谷市湊方久保435,https://stamp.funakiya.com/hw-suwako.html,,,設置あり,36.0268152430274, 138.07801950815897
"POINT (138.5106986737067 35.67993292481915)",16284.0,中央自動車道双葉SA,CHUO EXPWY Futaba Service Area,〒400-0104 上り：山梨県甲斐市龍地2395、下り：山梨県甲斐市龍地2630,https://stamp.funakiya.com/hw-futaba.html,,,設置あり,35.67993292481915, 138.5106986737067
"POINT (137.60731423542612 34.78137618284647)",16317.0,東名高速道路浜名湖SA,TOMEI EXPWY Hamanako Service Area,〒431-1401 上下線共通：静岡県浜松市北区三ヶ日町佐久米47-1,https://stamp.funakiya.com/hw-hamanako.html,,,設置あり,34.78137618284647, 137.60731423542612
"POINT (138.1585866277371 34.76109735814017)",16318.0,東名高速道路牧之原SA,TOMEI EXPWY Makinohara Service Area,〒421-0404 上り：静岡県牧之原市静谷2559-3、下り：静岡県牧之原市静谷2545-9,https://stamp.funakiya.com/hw-makinohara.html,,,設置あり,34.76109735814017, 138.1585866277371
"POINT (141.51261007973878 42.95265412915277)",16357.0,道央自動車道輪厚PA,DO-O EXPWY Wattsu Parking Area,〒061-1264 上り：北海道北広島市輪厚531-6、下り：北海道北広島市輪厚522-7,https://stamp.funakiya.com/hw-wattsu.html,,,設置あり,42.95265412915277, 141.51261007973878
"POINT (137.75039628111404 34.843286914415536)",16429.0,新東名高速道路浜松SA,SHIN-TOMEI EXPWY Hamamatsu Service Area,〒434-0005 / 431-2102 上り：静岡県浜松市浜北区大平36、下り：静岡県浜松市浜北区都田町3928-60,https://stamp.funakiya.com/hw-hamamatsu.html,,,設置あり,34.843286914415536, 137.75039628111404
"POINT (139.3988109449693 35.432124853406215)",16430.0,東名高速道路海老名SA,TOMEI EXPWY Ebina Service Area,〒243-0418 上り：神奈川県海老名市大谷南5-1-2、下り：神奈川県海老名市大谷南5-2-1,https://stamp.funakiya.com/hw-ebina.html,,,設置あり,35.432124853406215, 139.3988109449693
"POINT (140.34303491361155 36.31000207687677)",16449.0,常磐自動車道友部SA,JOBAN EXPWY Tomobe Service Area,〒309-1712 上り：茨城県笠間市長兎路梶山久保1059-6、下り：茨城県笠間市長兎路梶山久保1051-3,https://stamp.funakiya.com/hw-tomobe.html,,,設置あり,36.31000207687677, 140.34303491361155
"POINT (135.296072602485 34.82898629817243)",16610.0,中国自動車道西宮名塩SA,CHUGOKU EXPWY Nishinomiya-Najio Service Area,〒669-1141 上り：兵庫県西宮市塩瀬町名塩白阪1252、下り：兵庫県西宮市塩瀬町名塩906,https://stamp.funakiya.com/hw-nishinomiya.html,,,設置あり,34.82898629817243, 135.296072602485
"POINT (139.97007653270697 35.93923827185309)",16685.0,常磐自動車道守谷SA,JOBAN EXPWY Moriya Service Area,〒302-0116 / 302-0117 上り：茨城県守谷市大柏166、下り：茨城県守谷市野木崎97-3,https://stamp.funakiya.com/hw-moriya.html,,,設置あり,35.93923827185309, 139.97007653270697
"POINT (139.58814810255484 36.181522103732135)",16750.0,東北自動車道羽生PA,TOHOKU EXPWY Hanyū Parking Area,〒348-0004 上り：埼玉県羽生市弥勒五軒1686、下り：埼玉県羽生市弥勒三新田824,https://stamp.funakiya.com/hw-hanyu.html,,,設置あり,36.181522103732135, 139.58814810255484
"POINT (136.87196820890009 36.62548394200846)",17583.0,北陸自動車道小矢部川SA,HOKURIKU EXPWY Oyabegawa Service Area,〒932-0122 / 932-0128 上り：富山県小矢部市浅地171-1、下り：富山県小矢部市戸久殿山4682,https://stamp.funakiya.com/hw-oyabegawa.html,,,設置あり,36.62548394200846, 136.87196820890009
"POINT (136.32315409972935 36.35098260046249)",17584.0,北陸自動車道尼御前SA,HOKURIKU EXPWY Amagozen Service Area,〒922-0551 上り：石川県加賀市美岬町ナ48、下り：石川県加賀市美岬町尼ゴジ3-2,https://stamp.funakiya.com/hw-amagozen.html,,,設置あり,36.35098260046249, 136.32315409972935
"POINT (138.51298871957655 35.13166513243779)",17740.0,新東名高速道路清水PA,SHIN-TOMEI EXPWY Shimizu Parking Area,〒424-0302 上下線共通：静岡県静岡市清水区小河内885-15,https://stamp.funakiya.com/hw-shimizu.html,,,設置あり,35.13166513243779, 138.51298871957655
"POINT (139.5273980915942 35.5331942592729)",17872.0,東名高速道路港北PA,TOMEI EXPWY Kōhoku Parking Area,〒226-0024 / 226-0021 上り：神奈川県横浜市緑区西八朔町1144、下り：神奈川県横浜市緑区北八朔町2160,https://stamp.funakiya.com/hw-kohoku.html,,,設置あり,35.5331942592729, 139.5273980915942
"POINT (137.90651170690165 34.82657168016391)",17873.0,新東名高速道路遠州森町PA,SHIN-TOMEI EXPWY Enshū-Morimachi Parking Area,〒437-0221 上り：静岡県周智郡森町円田903-4、下り：静岡県周智郡森町円田954-3,https://stamp.funakiya.com/hw-enshumorimachi.html,,,設置あり,34.82657168016391, 137.90651170690165
"POINT (136.29395662522452 34.914504150726096)",17874.0,新名神高速道路土山SA,SHIN-MEISHIN EXPWY Tsuchiyama Service Area,〒528-0212 上下線共通：滋賀県甲賀市土山町南土山1122-74,https://stamp.funakiya.com/hw-tsuchiyama.html,,,設置あり,34.914504150726096, 136.29395662522452
"POINT (141.93009844589946 43.52924124637148)",18215.0,道央自動車道砂川SA,DO-O EXPWY Sunagawa Service Area,〒073-0106 上り：北海道砂川市空知太490-2、下り：北海道砂川市空知太478,https://stamp.funakiya.com/hw-sunagawa.html,,,設置あり,43.52924124637148, 141.93009844589946
"POINT (141.80439972382752 43.194314269248096)",18216.0,道央自動車道岩見沢SA,DO-O EXPWY Iwamizawa Service Area,〒068-0826 上り：北海道岩見沢市東山町96-3、下り：北海道岩見沢市東山町72-8,https://stamp.funakiya.com/hw-iwamizawa.html,,,設置あり,43.194314269248096, 141.80439972382752
"POINT (141.53485416496702 43.0790428489623)",18217.0,道央自動車道野幌PA,DO-O EXPWY Nopporo Parking Area,〒069-0832 上り：北海道江別市西野幌69-7、下り：北海道江別市西野幌36-2,https://stamp.funakiya.com/hw-nopporo.html,,,設置あり,43.0790428489623, 141.53485416496702
"POINT (137.10827359754566 36.68174793433633)",18226.0,北陸自動車道呉羽PA,HOKURIKU EXPWY Kureha Parking Area,〒939-0300 / 939-0318 上り：富山県射水市山本二枚田38-7、下り：富山県射水市山本池多860,https://stamp.funakiya.com/hw-kureha.html,,,設置あり,36.68174793433633, 137.10827359754566
"POINT (137.40018190684657 36.770022335001904)",18227.0,北陸自動車道有磯海SA,HOKURIKU EXPWY Arisoumi Service Area,〒936-0803 / 937-0823 上り：富山県滑川市栗山松ヶ窪2913-10、下り：富山県魚津市湯上848,https://stamp.funakiya.com/hw-arisoumi.html,,,設置あり,36.770022335001904, 137.40018190684657
"POINT (137.60846102362757 36.97221899537856)",18228.0,北陸自動車道越中境PA,HOKURIKU EXPWY Etchūsakai Parking Area,〒939-0704 上り：富山県下新川郡朝日町境馬場山156-1、下り：富山県下新川郡朝日町境馬場山102,https://stamp.funakiya.com/hw-etchusakai.html,,,設置あり,36.97221899537856, 137.60846102362757
"POINT (137.86967839595215 37.0323488357566)",18229.0,北陸自動車道蓮台寺PA,HOKURIKU EXPWY Rendaiji Parking Area,〒941-0055 上り：新潟県糸魚川市蓮台寺塚之越646-2、下り：新潟県糸魚川市蓮台寺竹屋原395-2,https://stamp.funakiya.com/hw-rendaiji.html,,,設置あり,37.0323488357566, 137.86967839595215
