WKT,ID,名前,EN,住所,URL,無人化日,廃止日,スタンプ設置,住所判定用
"POINT (139.76581348508796 35.84811923406028)",16039.0,道の駅川口・あんぎょう,Michinoeki Kawaguchi-Angyo,〒334-0058 埼玉県川口市安行領家844-2,https://stamp.funakiya.com/miti-kawaguchi.html,,,設置あり,35.84811923406028, 139.76581348508796
"POINT (139.7948706139356 35.996760238982205)",16040.0,道の駅庄和,Michinoeki Showa,〒344-0121 埼玉県春日部市上柳995,https://stamp.funakiya.com/miti-showa.html,,,設置あり,35.996760238982205, 139.7948706139356
"POINT (139.3698878446043 36.21498947724502)",16041.0,道の駅めぬま,Michinoeki Menuma,〒360-0203 埼玉県熊谷市弥藤吾720,https://stamp.funakiya.com/miti-menuma.html,,,設置あり,36.21498947724502, 139.3698878446043
"POINT (138.9682866630198 36.76491453108787)",16116.0,道の駅みなかみ水紀行館,Michinoeki Minakami Mizukikokan,〒379-1617 群馬県利根郡みなかみ町湯原1681-1,https://stamp.funakiya.com/miti-minakami.html,,,設置あり,36.76491453108787, 138.9682866630198
"POINT (140.34661542595146 41.25388952332207)",16180.0,道の駅みんまや,Michinoeki Minmaya,〒030-1711 青森県東津軽郡外ヶ浜町三厩龍浜99,https://stamp.funakiya.com/miti-minmaya.html,,,設置あり,41.25388952332207, 140.34661542595146
"POINT (136.96957786175017 36.73671616134768)",16258.0,道の駅万葉の里高岡,Michinoeki Man-yo no Sato Takaoka,〒933-0317 富山県高岡市蜂ケ島131-1,https://stamp.funakiya.com/miti-takaoka.html,,,設置あり,36.73671616134768, 136.96957786175017
"POINT (140.51429843168302 41.145518175043044)",16260.0,道の駅いまべつ,Michinoeki Imabetsu,〒030-1505 青森県東津軽郡今別町大川平清川87-16,https://stamp.funakiya.com/miti-imabetu.html,,,設置あり,41.145518175043044, 140.51429843168302
"POINT (132.68626138404335 35.3891396062213)",16261.0,道の駅大社ご縁広場,Michinoeki Taisha Goenhiroba,〒699-0721 島根県出雲市大社町修理免735-5,https://stamp.funakiya.com/miti-kittyou.html,,,設置あり,35.3891396062213, 132.68626138404335
"POINT (137.0849413903462 36.75206663121928)",16262.0,道の駅カモンパーク新湊,Michinoeki Come On Park Shinminato,〒934-0049 富山県射水市鏡宮296,https://stamp.funakiya.com/miti-shinminato.html,,,設置あり,36.75206663121928, 137.0849413903462
"POINT (140.1067129562361 35.75829888140445)",16263.0,道の駅八千代ふるさとステーション,Michinoeki Yachiyo,〒276-0015 千葉県八千代市米本4905-1,https://stamp.funakiya.com/miti-yachiyo.html,,,設置あり,35.75829888140445, 140.1067129562361
"POINT (140.4700647482648 35.80597813882425)",16264.0,道の駅くりもと 紅小町の郷,Michinoeki Kurimoto,〒287-0105 千葉県香取市沢1372-1,https://stamp.funakiya.com/miti-kurimoto.html,,,設置あり,35.80597813882425, 140.4700647482648
"POINT (136.90159345694812 36.2787059685862)",16265.0,道の駅白川郷,Michinoeki Shirakawago,〒501-5625 岐阜県大野郡白川村飯島411,https://stamp.funakiya.com/miti-shirakawago.html,,,設置あり,36.2787059685862, 136.90159345694812
"POINT (140.02235703521592 35.857654240265326)",16266.0,道の駅しょうなん,Michinoeki Shonan,〒277-0911 千葉県柏市箕輪新田59-2,https://stamp.funakiya.com/miti-syounan.html,,,設置あり,35.857654240265326, 140.02235703521592
"POINT (139.5722519120971 36.343972887572185)",16267.0,道の駅どまんなか たぬま,Michinoeki Domannaka Tanuma,〒327-0313 栃木県佐野市吉水町366-2,https://stamp.funakiya.com/miti-tanuma.html,,,設置あり,36.343972887572185, 139.5722519120971
"POINT (138.8023479501261 36.22385447551881)",16268.0,道の駅しもにた,Michinoeki Shimonita,〒370-2603 群馬県甘楽郡下仁田町馬山長割3766-11,https://stamp.funakiya.com/miti-shimonita.html,,,設置あり,36.22385447551881, 138.8023479501261
"POINT (136.8766975917685 36.68950409515093)",16270.0,道の駅メルヘンおやべ,Michinoeki Oyabe,〒932-0022 富山県小矢部市桜町1535-1,https://stamp.funakiya.com/miti-oyabe.html,,,設置あり,36.68950409515093, 136.8766975917685
"POINT (137.34460286265818 36.77446874517649)",16271.0,道の駅ウェーブパークなめりかわ,Michinoeki Wave Park Namerikawa,〒936-0021 富山県滑川市中川原410,https://stamp.funakiya.com/miti-namerikawa.html,,,設置あり,36.77446874517649, 137.34460286265818
"POINT (136.9870423026716 36.86440599203397)",16272.0,道の駅氷見,Michinoeki Himi,〒935-0004 富山県氷見市北大町25-5,https://stamp.funakiya.com/miti-himi.html,,,設置あり,36.86440599203397, 136.9870423026716
"POINT (139.08934851636718 35.997416902235564)",16275.0,道の駅ちちぶ,Michinoeki Chichibu,〒368-0023 埼玉県秩父市大宮4625,https://stamp.funakiya.com/miti-chichibu.html,,,設置あり,35.997416902235564, 139.08934851636718
"POINT (141.65666137870815 44.313224048587315)",16361.0,道の駅風Ｗとままえ,Michinoeki Fuwatto Tomamae Station,〒078-3701 北海道苫前郡苫前町苫前119-1,https://stamp.funakiya.com/miti-tomamae.html,,,設置あり,44.313224048587315, 141.65666137870815
"POINT (141.70649515965636 44.367124117685826)",16362.0,道の駅ほっと・はぼろ,Michinoeki Hotto・Haboro Station,〒078-4113 北海道苫前郡羽幌町北3条1-29,https://stamp.funakiya.com/miti-haboro.html,,,設置あり,44.367124117685826, 141.70649515965636
"POINT (141.77748543884175 44.56327051603129)",16363.0,道の駅ロマン街道しょさんべつ,Michinoeki Romankaido Shosanbetsu Station,〒078-4431 北海道苫前郡初山別村豊岬153-1,https://stamp.funakiya.com/miti-shosanbetsu.html,,,設置あり,44.56327051603129, 141.77748543884175
"POINT (141.67671835483097 45.41691529523824)",16364.0,道の駅わっかない,Michinoeki Wakkanai Station,〒097-0023 北海道稚内市開運2丁目,https://stamp.funakiya.com/miti-wakkanai.html,,,設置あり,45.41691529523824, 141.67671835483097
"POINT (142.17614963023382 45.3298630065966)",16368.0,道の駅さるふつ公園,Michinoeki Sarufutsu Park Station,〒098-6222 北海道宗谷郡猿払村浜鬼志別214-7,https://stamp.funakiya.com/miti-sarufutsu.html,,,設置あり,45.3298630065966, 142.17614963023382
"POINT (142.631948500217 44.878234829962885)",16369.0,道の駅マリーンアイランド岡島,Michinoeki Marine Island Okashima Station,〒098-5802 北海道枝幸郡枝幸町岡島1978-13,https://stamp.funakiya.com/miti-okajima.html,,,設置あり,44.878234829962885, 142.631948500217
"POINT (142.95963566093016 44.58305684719832)",16370.0,道の駅おうむ,Michinoeki Oumu Station,〒098-1702 北海道紋別郡雄武町雄武1885-14,https://stamp.funakiya.com/miti-oumu.html,,,設置あり,44.58305684719832, 142.95963566093016
"POINT (143.11628160988957 44.46935585109407)",16371.0,道の駅おこっぺ,Michinoeki Okoppe Station,〒098-1611 北海道紋別郡興部町興部1322-21,https://stamp.funakiya.com/miti-okoppe.html,,,設置あり,44.46935585109407, 143.11628160988957
